epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.6875,,0.6342881917953491,,,49
0,,0.625,,0.6558711528778076,,,99
0,,0.71875,,0.5836865901947021,,,149
0,,0.6875,,0.5820616483688354,,,199
0,,0.59375,,0.7082943916320801,,,249
0,,0.625,,0.6984025239944458,,,299
0,,0.78125,,0.4967198967933655,,,349
0,,0.90625,,0.44945666193962097,,,399
0,,0.78125,,0.4229809641838074,,,449
0,,0.625,,0.6060153245925903,,,499
0,,0.875,,0.5186746716499329,,,549
0,,0.78125,,0.45103907585144043,,,599
0,,0.84375,,0.41311728954315186,,,649
0,,0.78125,,0.4860740900039673,,,699
0,,0.8125,,0.46997952461242676,,,749
0,,,,,0.7824675440788269,0.5185832381248474,749
0,0.7170000076293945,,0.5545421242713928,,,,749
1,,0.75,,0.455622136592865,,,799
1,,0.6875,,0.5388863682746887,,,849
1,,0.75,,0.5394974946975708,,,899
1,,0.59375,,0.5377592444419861,,,949
1,,0.6875,,0.5808303356170654,,,999
1,,0.75,,0.5530990362167358,,,1049
1,,0.65625,,0.5671982765197754,,,1099
1,,0.78125,,0.5561271905899048,,,1149
1,,0.875,,0.35336366295814514,,,1199
1,,0.75,,0.4668567180633545,,,1249
1,,0.78125,,0.4771668016910553,,,1299
1,,0.8125,,0.4306647777557373,,,1349
1,,0.875,,0.3401646614074707,,,1399
1,,0.875,,0.4537380337715149,,,1449
1,,0.78125,,0.47332343459129333,,,1499
1,,,,,0.8655844330787659,0.42119157314300537,1499
1,0.746749997138977,,0.5046720504760742,,,,1499
2,,0.71875,,0.525169849395752,,,1549
2,,0.75,,0.6192400455474854,,,1599
2,,0.78125,,0.41989654302597046,,,1649
2,,0.84375,,0.3685990571975708,,,1699
2,,0.90625,,0.40746554732322693,,,1749
2,,0.75,,0.4253849387168884,,,1799
2,,0.75,,0.4470784068107605,,,1849
2,,0.78125,,0.5099514722824097,,,1899
2,,0.84375,,0.3738939166069031,,,1949
2,,0.875,,0.31599733233451843,,,1999
2,,0.78125,,0.3723585605621338,,,2049
2,,0.90625,,0.2792668342590332,,,2099
2,,0.59375,,0.6193661093711853,,,2149
2,,0.875,,0.3581278324127197,,,2199
