epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.546875,,0.6904957294464111,,,49
0,,0.46875,,0.7133318781852722,,,99
0,,0.578125,,0.6831378936767578,,,149
0,,0.53125,,0.6846530437469482,,,199
0,,0.5,,0.695386528968811,,,249
0,,0.46875,,0.6927026510238647,,,299
0,,0.609375,,0.6774975061416626,,,349
0,,0.515625,,0.6885238885879517,,,399
0,,0.546875,,0.6905206441879272,,,449
0,,0.46875,,0.6957541704177856,,,499
0,,,,,0.5422077775001526,0.6933477520942688,499
0,0.5019062757492065,,0.695955753326416,,,,499
1,,0.4375,,0.6984344720840454,,,549
1,,0.421875,,0.7048249840736389,,,599
1,,0.53125,,0.6893693804740906,,,649
1,,0.390625,,0.6986422538757324,,,699
1,,0.515625,,0.6954500675201416,,,749
1,,0.515625,,0.6938747763633728,,,799
1,,0.390625,,0.6962423920631409,,,849
1,,0.40625,,0.6982990503311157,,,899
1,,0.484375,,0.6929863095283508,,,949
1,,0.53125,,0.6930729150772095,,,999
1,,,,,0.11233766376972198,0.7089943885803223,999
1,0.5027812719345093,,0.6937623620033264,,,,999
2,,0.484375,,0.6930416822433472,,,1049
2,,0.5,,0.6958587169647217,,,1099
2,,0.421875,,0.697780966758728,,,1149
2,,0.546875,,0.694738507270813,,,1199
2,,0.484375,,0.6960846781730652,,,1249
2,,0.578125,,0.6884030103683472,,,1299
2,,0.453125,,0.6967049837112427,,,1349
2,,0.59375,,0.6892166137695312,,,1399
2,,0.421875,,0.6946427822113037,,,1449
2,,0.546875,,0.6942638158798218,,,1499
2,,,,,0.4577922224998474,0.6868784427642822,1499
2,0.5023437738418579,,0.693602979183197,,,,1499
3,,0.4375,,0.7002407312393188,,,1549
3,,0.4375,,0.6996256113052368,,,1599
3,,0.328125,,0.7059390544891357,,,1649
3,,0.4375,,0.6952488422393799,,,1699
3,,0.5,,0.6941977143287659,,,1749
3,,0.5,,0.6925883293151855,,,1799
3,,0.53125,,0.6917496919631958,,,1849
3,,0.484375,,0.6940286159515381,,,1899
3,,0.546875,,0.6931571960449219,,,1949
3,,0.46875,,0.6954195499420166,,,1999
3,,,,,0.5422077775001526,0.6923943758010864,1999
3,0.5009687542915344,,0.69355708360672,,,,1999
4,,0.421875,,0.6956936120986938,,,2049
4,,0.40625,,0.6977885365486145,,,2099
4,,0.484375,,0.6941162943840027,,,2149
4,,0.484375,,0.6923002004623413,,,2199
4,,0.53125,,0.6941812038421631,,,2249
4,,0.453125,,0.7001056671142578,,,2299
4,,0.53125,,0.6934066414833069,,,2349
4,,0.5,,0.6917575001716614,,,2399
4,,0.578125,,0.69144606590271,,,2449
4,,0.453125,,0.6940468549728394,,,2499
4,,,,,0.8876623511314392,0.6885524988174438,2499
4,0.4997187554836273,,0.6934065818786621,,,,2499
5,,0.4375,,0.6925228834152222,,,2549
5,,0.421875,,0.6945310831069946,,,2599
5,,0.453125,,0.6941816806793213,,,2649
5,,0.625,,0.6901681423187256,,,2699
5,,0.53125,,0.6896006464958191,,,2749
5,,0.453125,,0.6939447522163391,,,2799
5,,0.59375,,0.6912561655044556,,,2849
5,,0.484375,,0.6927249431610107,,,2899
5,,0.5,,0.6928417682647705,,,2949
5,,0.40625,,0.6953927278518677,,,2999
5,,,,,0.8876623511314392,0.687157154083252,2999
5,0.49553126096725464,,0.693462610244751,,,,2999
