epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.671875,,0.6207383871078491,,,49
0,,0.6875,,0.5343526601791382,,,99
0,,0.671875,,0.6110314130783081,,,149
0,,0.6875,,0.6002890467643738,,,199
0,,0.71875,,0.5429755449295044,,,249
0,,0.765625,,0.497549831867218,,,299
0,,0.765625,,0.5208160877227783,,,349
0,,0.578125,,0.6300888061523438,,,399
0,,0.59375,,0.6575555205345154,,,449
0,,0.734375,,0.6051405668258667,,,499
0,,,,,0.883766233921051,0.3434571921825409,499
0,0.6888437271118164,,0.5847972631454468,,,,499
1,,0.625,,0.6546604633331299,,,549
1,,0.65625,,0.6277960538864136,,,599
1,,0.734375,,0.554575502872467,,,649
1,,0.6875,,0.5788366198539734,,,699
1,,0.640625,,0.6545304656028748,,,749
1,,0.71875,,0.5253090858459473,,,799
1,,0.734375,,0.5716937780380249,,,849
1,,0.6875,,0.5950307846069336,,,899
1,,0.65625,,0.5773299932479858,,,949
1,,0.71875,,0.5405710935592651,,,999
1,,,,,0.8818181753158569,0.34943175315856934,999
1,0.6961249709129333,,0.5731727480888367,,,,999
2,,0.734375,,0.5211650729179382,,,1049
2,,0.671875,,0.591232419013977,,,1099
2,,0.765625,,0.4544925391674042,,,1149
2,,0.59375,,0.6250954866409302,,,1199
2,,0.671875,,0.5965491533279419,,,1249
2,,0.671875,,0.6013650298118591,,,1299
2,,0.703125,,0.5361911058425903,,,1349
2,,0.6875,,0.6213616728782654,,,1399
2,,0.640625,,0.6150323152542114,,,1449
2,,0.8125,,0.5043517351150513,,,1499
2,,,,,0.8811688423156738,0.34613123536109924,1499
2,0.7015937566757202,,0.5664862990379333,,,,1499
3,,0.71875,,0.5475125312805176,,,1549
3,,0.6875,,0.583344578742981,,,1599
3,,0.71875,,0.6021307110786438,,,1649
3,,0.71875,,0.5376904606819153,,,1699
3,,0.671875,,0.5440851449966431,,,1749
3,,0.65625,,0.6056712865829468,,,1799
3,,0.703125,,0.6483688354492188,,,1849
3,,0.71875,,0.563418984413147,,,1899
3,,0.65625,,0.5963695049285889,,,1949
3,,0.78125,,0.4799889326095581,,,1999
3,,,,,0.8785714507102966,0.3549937605857849,1999
3,0.7070000171661377,,0.5603663921356201,,,,1999
