epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.546875,,0.6707477569580078,,,49
0,,0.75,,0.573557436466217,,,99
0,,0.640625,,0.620932936668396,,,149
0,,0.53125,,0.6731062531471252,,,199
0,,0.625,,0.6318665742874146,,,249
0,,0.71875,,0.5345544815063477,,,299
0,,0.640625,,0.6694831252098083,,,349
0,,,,,0.8668830990791321,0.3815668821334839,374
0,0.6615833044052124,,0.612348735332489,,,,374
1,,0.5625,,0.6709675788879395,,,399
1,,0.65625,,0.6092777252197266,,,449
1,,0.8125,,0.5005617141723633,,,499
1,,0.71875,,0.5229455828666687,,,549
1,,0.734375,,0.5541574954986572,,,599
1,,0.75,,0.5312203168869019,,,649
1,,0.703125,,0.5673189759254456,,,699
1,,0.65625,,0.6073931455612183,,,749
1,,,,,0.8149350881576538,0.41916725039482117,749
1,0.6891666650772095,,0.5801580548286438,,,,749
2,,0.75,,0.5650319457054138,,,799
2,,0.765625,,0.524247944355011,,,849
2,,0.796875,,0.49495312571525574,,,899
2,,0.734375,,0.582275927066803,,,949
2,,0.71875,,0.5641860365867615,,,999
2,,0.5625,,0.6347293257713318,,,1049
2,,0.75,,0.5996860861778259,,,1099
2,,,,,0.8123376369476318,0.39678525924682617,1124
2,0.7037500143051147,,0.5670846104621887,,,,1124
3,,0.609375,,0.6086255311965942,,,1149
3,,0.734375,,0.549579381942749,,,1199
3,,0.671875,,0.5461861491203308,,,1249
3,,0.609375,,0.6624536514282227,,,1299
3,,0.640625,,0.6008937358856201,,,1349
3,,0.84375,,0.4667753279209137,,,1399
3,,0.65625,,0.5965119004249573,,,1449
3,,0.75,,0.5617069602012634,,,1499
3,,,,,0.7759740352630615,0.44615471363067627,1499
3,0.706333339214325,,0.5604614019393921,,,,1499
