epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.515625,,0.6926836371421814,,,49
0,,0.46875,,0.7004573345184326,,,99
0,,0.46875,,0.7085692286491394,,,149
0,,0.59375,,0.690255343914032,,,199
0,,0.46875,,0.7026586532592773,,,249
0,,0.5,,0.6872341632843018,,,299
0,,0.453125,,0.6979988813400269,,,349
0,,,,,0.11233766376972198,0.708457887172699,374
0,0.499875009059906,,0.6973558664321899,,,,374
1,,0.5625,,0.6902251243591309,,,399
1,,0.546875,,0.6910843849182129,,,449
1,,0.546875,,0.682267427444458,,,499
1,,0.4375,,0.6985820531845093,,,549
1,,0.5,,0.6943158507347107,,,599
1,,0.375,,0.7002650499343872,,,649
1,,0.390625,,0.6953500509262085,,,699
1,,0.546875,,0.6946386098861694,,,749
1,,,,,0.8876623511314392,0.6868759393692017,749
1,0.5035416483879089,,0.6939051747322083,,,,749
2,,0.609375,,0.6916040778160095,,,799
2,,0.546875,,0.6907668113708496,,,849
2,,0.5,,0.6922472715377808,,,899
2,,0.5625,,0.6901836395263672,,,949
