epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.515625,,0.6957569122314453,,,49
0,,0.5625,,0.6879347562789917,,,99
0,,0.546875,,0.7026163935661316,,,149
0,,0.546875,,0.6871064901351929,,,199
0,,0.4375,,0.7138828039169312,,,249
0,,0.5625,,0.688971757888794,,,299
0,,0.484375,,0.6979522705078125,,,349
0,,,,,0.4577922224998474,0.695193350315094,374
0,0.4997916519641876,,0.6971178650856018,,,,374
1,,0.546875,,0.6886557340621948,,,399
1,,0.546875,,0.6910315155982971,,,449
1,,0.625,,0.6842935085296631,,,499
1,,0.5625,,0.6880474090576172,,,549
1,,0.46875,,0.6988230347633362,,,599
1,,0.46875,,0.7068458795547485,,,649
1,,0.546875,,0.691253662109375,,,699
1,,0.59375,,0.6852205991744995,,,749
1,,,,,0.8876623511314392,0.6774525046348572,749
1,0.5051666498184204,,0.693836510181427,,,,749
2,,0.578125,,0.6900871396064758,,,799
2,,0.515625,,0.6920850276947021,,,849
2,,0.53125,,0.6921294927597046,,,899
2,,0.578125,,0.6907939910888672,,,949
2,,0.484375,,0.6967167258262634,,,999
2,,0.53125,,0.6924850344657898,,,1049
2,,0.5,,0.6969834566116333,,,1099
2,,,,,0.4577922224998474,0.7040076851844788,1124
2,0.500166654586792,,0.6939358115196228,,,,1124
3,,0.421875,,0.6943231821060181,,,1149
3,,0.390625,,0.6955733299255371,,,1199
3,,0.515625,,0.6952781677246094,,,1249
3,,0.484375,,0.6925805807113647,,,1299
3,,0.5,,0.6951866745948792,,,1349
3,,0.421875,,0.6947454214096069,,,1399
3,,0.53125,,0.6930578351020813,,,1449
3,,0.5625,,0.6888860464096069,,,1499
3,,,,,0.4577922224998474,0.6989174485206604,1499
3,0.49395832419395447,,0.693773627281189,,,,1499
4,,0.46875,,0.6933609843254089,,,1549
4,,0.453125,,0.6938121914863586,,,1599
4,,0.484375,,0.6942087411880493,,,1649
4,,0.515625,,0.6918486952781677,,,1699
4,,0.515625,,0.6916907429695129,,,1749
4,,0.515625,,0.6919535398483276,,,1799
4,,0.5,,0.6925758123397827,,,1849
4,,,,,0.8876623511314392,0.6812610030174255,1874
4,0.5011249780654907,,0.6933345794677734,,,,1874
