epoch,finetuning/train_acc_epoch,finetuning/train_acc_step,finetuning/train_loss_epoch,finetuning/train_loss_step,finetuning/val_acc,finetuning/val_loss,step
0,,0.5,,0.6899062991142273,,,49
0,,0.53125,,0.6780040264129639,,,99
0,,0.609375,,0.666610062122345,,,149
0,,0.484375,,0.7107982039451599,,,199
0,,0.53125,,0.7162752151489258,,,249
0,,0.5,,0.6801270842552185,,,299
0,,0.5625,,0.6772515773773193,,,349
0,,,,,0.18766233325004578,0.7451436519622803,374
0,0.5451666712760925,,0.6852636933326721,,,,374
1,,0.59375,,0.67262864112854,,,399
1,,0.59375,,0.6471962332725525,,,449
1,,0.671875,,0.6581276655197144,,,499
1,,0.5,,0.7020534873008728,,,549
1,,0.421875,,0.7058640718460083,,,599
1,,0.515625,,0.6795951128005981,,,649
1,,0.546875,,0.6676614284515381,,,699
1,,0.5625,,0.6882754564285278,,,749
1,,,,,0.11363636702299118,0.871136486530304,749
1,0.5770833492279053,,0.6710958480834961,,,,749
2,,0.59375,,0.6643619537353516,,,799
2,,0.65625,,0.6335519552230835,,,849
2,,0.625,,0.644826352596283,,,899
2,,0.578125,,0.6585210561752319,,,949
2,,0.578125,,0.6899568438529968,,,999
2,,0.578125,,0.6876703500747681,,,1049
2,,0.546875,,0.6463108658790588,,,1099
2,,,,,0.11298701167106628,0.9664232134819031,1124
2,0.593583345413208,,0.6627744436264038,,,,1124
3,,0.734375,,0.6412748098373413,,,1149
3,,0.609375,,0.6341555118560791,,,1199
3,,0.546875,,0.6516820788383484,,,1249
3,,0.609375,,0.6433405876159668,,,1299
3,,0.546875,,0.6740571856498718,,,1349
3,,0.625,,0.603850245475769,,,1399
3,,0.515625,,0.6689414978027344,,,1449
3,,0.65625,,0.6619911193847656,,,1499
3,,,,,0.11233766376972198,1.136092185974121,1499
3,0.5948749780654907,,0.660775899887085,,,,1499
